Theta, Alpha, Low_beta, High_beta, Gamma
102.519,39.8643,24.3486,16.9461,12.0828,
97.7081,35.1235,17.0954,8.66379,2.78376,
88.9133,30.4575,15.3893,7.28016,2.11289,
100.338,37.9268,16.5125,8.07455,2.64833,
90.551,37.3232,22.4876,15.6225,11.8239,
8.96987,2.04169,0.459001,0.695309,0.298366,
9.32305,2.15366,1.02165,0.702391,0.338762,
0.68355,0.2229,0.333658,0.756373,0.379428,
3.11463,1.74644,0.39813,0.539304,0.417093,
2.01307,0.604353,0.742258,0.201831,0.0958001,
8.04991,1.94268,0.469664,0.63413,0.282825,
6.49519,1.8527,0.995292,0.684221,0.361283,
0.65674,0.220908,0.317496,0.795566,0.392533,
2.38343,1.6521,0.431083,0.527776,0.395016,
1.75005,0.557996,0.722562,0.214128,0.0971475,
6.69044,1.79712,0.480403,0.554287,0.261132,
4.11543,1.74296,0.950607,0.689845,0.38938,
0.617789,0.232782,0.278734,0.833201,0.403391,
1.84718,1.73647,0.474367,0.536866,0.37465,
1.48671,0.495848,0.652852,0.220172,0.0978056,
5.33797,1.64088,0.499163,0.475387,0.236736,
2.19176,1.73286,0.878113,0.71876,0.416591,
0.564203,0.260281,0.233656,0.877528,0.414701,
1.53717,1.90884,0.483247,0.56852,0.356576,
1.3071,0.428397,0.539726,0.212614,0.0970747,
4.12543,1.50387,0.511135,0.414761,0.215075,
1.20107,1.83873,0.787847,0.761572,0.434561,
0.517077,0.308265,0.186239,0.932547,0.426387,
1.28431,2.10765,0.530419,0.615581,0.344983,
1.15137,0.363046,0.413443,0.193004,0.0934658,
3.19403,1.38716,0.518162,0.378582,0.197764,
0.937876,2.00386,0.673552,0.793111,0.440175,
0.470727,0.378195,0.141561,0.987145,0.438956,
1.27004,2.31119,0.580747,0.681394,0.343671,
1.16414,0.326087,0.297845,0.16866,0.0888897,
3.19403,1.38716,0.518162,0.378582,0.197764,
0.937876,2.00386,0.673552,0.793111,0.440175,
0.470727,0.378195,0.141561,0.987145,0.438956,
1.37958,2.48606,0.692875,0.748354,0.351997,
1.24238,0.333399,0.217767,0.143651,0.0844318,
2.48773,1.30752,0.509681,0.357959,0.187379,
1.19674,2.17049,0.576224,0.794331,0.426559,
0.429853,0.456531,0.103524,1.02311,0.447584,
1.37958,2.48606,0.692875,0.748354,0.351997,
1.24238,0.333399,0.217767,0.143651,0.0844318,
2.03088,1.29091,0.478044,0.350999,0.184035,
1.78804,2.35604,0.509315,0.762664,0.399271,
0.41207,0.551469,0.0750965,1.03263,0.451017,
1.7718,2.63725,0.819639,0.813255,0.367639,
1.61245,0.629695,0.172672,0.113502,0.0765106,
1.83136,1.307,0.438905,0.342745,0.184619,
2.49545,2.50122,0.48234,0.702608,0.359414,
0.41258,0.657647,0.0700814,1.0175,0.441374,
2.65222,2.84471,0.998547,0.862817,0.403776,
1.77426,0.940388,0.188162,0.107394,0.0736072,
1.85598,1.38729,0.403771,0.332463,0.188521,
3.14596,2.61616,0.519762,0.635212,0.315698,
0.469433,0.759313,0.0828602,0.989474,0.420689,
2.65222,2.84471,0.998547,0.862817,0.403776,
1.77426,0.940388,0.188162,0.107394,0.0736072,
2.2586,1.50501,0.391523,0.321091,0.192744,
3.64252,2.66646,0.578658,0.584956,0.273898,
0.59806,0.850246,0.112275,0.96139,0.39361,
3.08779,2.8563,0.986859,0.850928,0.421746,
1.88538,1.31586,0.211711,0.105443,0.0716343,
3.00385,1.61239,0.411906,0.314265,0.195336,
3.84871,2.61029,0.656647,0.556517,0.246183,
0.768405,0.915504,0.145008,0.939172,0.364773,
3.33547,2.72662,0.923272,0.829814,0.44267,
1.84722,1.6911,0.237755,0.108219,0.0705897,
3.9901,1.69411,0.452347,0.318383,0.195528,
3.81674,2.42868,0.746461,0.56363,0.239487,
0.928014,0.946605,0.179393,0.911402,0.343089,
3.41005,2.51799,0.861499,0.831483,0.468305,
1.74123,1.99151,0.255991,0.111962,0.071477,
4.9335,1.73957,0.503844,0.34074,0.193361,
